City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
446,Comodoro Rivadavia,AR,89.46,clear sky,-45.8667,-67.5,Austral Hotel
447,Braco Do Norte,BR,85.73,clear sky,-28.275,-49.1656,Costa Nobre Hotel
452,Port Lincoln,AU,76.73,few clouds,-34.7333,135.8667,Port Lincoln Hotel
454,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
455,Nacala,MZ,77.47,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
457,Porto Novo,BJ,85.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
462,Sinnamary,GF,81.07,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
463,Lazaro Cardenas,MX,82.69,scattered clouds,17.9583,-102.2,quinta antigua
464,Kribi,CM,81.18,broken clouds,2.95,9.9167,La Grace Hôtel
466,Pointe Michel,DM,80.89,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
470,Acapulco,MX,83.77,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
479,Tagusao,PH,76.57,broken clouds,9.1924,117.8141,Green Villa beach resort
480,Ambulu,ID,76.41,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
483,Bucerias,MX,80.67,few clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
491,Beyla,GN,87.85,broken clouds,8.6833,-8.6333,DIAN SINKO
495,Porto Belo,BR,87.64,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
500,Castanas,PH,75.09,broken clouds,13.8822,121.5517,The Ponce Farm
501,Imbituba,BR,78.69,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
503,Coruripe,BR,85.64,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
510,Kavaratti,IN,78.4,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
511,Alta Floresta,BR,79.05,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
512,Morropon,PE,88.03,overcast clouds,-5.1822,-79.9689,panaderia jeffeson
513,Berbera,SO,78.53,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
515,Viedma,AR,83.66,clear sky,-40.8135,-62.9967,Hotel Cristal
516,Lufilufi,WS,80.76,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
519,Ransang,PH,76.89,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
524,Kindu,CD,75.67,overcast clouds,-2.95,25.95,Résidence Okanda
527,Tucuma,BR,82.15,overcast clouds,-0.1833,-50.05,
529,Kabin Buri,TH,81.28,overcast clouds,13.9511,101.7177,At Home Kabinburi
532,San Ramon De La Nueva Oran,AR,85.37,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
534,La Vega,DO,83.57,broken clouds,19.2221,-70.5296,Hotel Rey
535,Ixtapa,MX,84.45,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
536,Samarai,PG,80.19,broken clouds,-10.6167,150.6667,Nuli Sapi
537,Celestun,MX,75.58,few clouds,20.8667,-90.4,Posada Lilia
538,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
539,Mana,GF,82.11,broken clouds,5.6592,-53.7767,LE SAMANA
540,Buchanan,LR,84.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
541,Padang,ID,77.41,overcast clouds,-0.9492,100.3543,Mercure Padang
548,Paramonga,PE,75.6,broken clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
549,Barranca,PE,75.33,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
551,Calama,CL,77.49,few clouds,-22.4667,-68.9333,Diego De Almagro Calama
552,Lolodorf,CM,78.03,scattered clouds,3.2333,10.7333,Auberge La Decouverte
554,Tarakan,ID,78.62,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
556,Bowen,AU,75.06,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
558,Adrar,MR,77.72,broken clouds,20.5022,-10.0711,
565,Takoradi,GH,81.0,broken clouds,4.8845,-1.7554,Raybow International Hotel
566,Tamandare,BR,84.9,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
567,Miri,MY,77.31,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
571,Neiafu,TO,78.71,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
572,Chimbote,PE,76.19,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
576,Kuala Sungai Baru,MY,77.14,light rain,2.3594,102.0353,Homestay Villa Suraiya Kuala Sungai Baru Melaka
577,Itapirapua,BR,79.11,overcast clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
580,Jacareacanga,BR,86.31,moderate rain,-6.2222,-57.7528,Casa do Ian😎
583,Taoudenni,ML,76.59,clear sky,22.6783,-3.9836,
588,Acarau,BR,87.4,broken clouds,-2.8856,-40.12,castelo pizzaria
589,Labrea,BR,77.97,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
593,Port Pirie,AU,78.19,scattered clouds,-33.1833,138.0167,John Pirie Motor Inn
594,Vaitape,PF,81.5,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
595,Kloulklubed,PW,82.36,broken clouds,7.0419,134.2556,Storyboard Beach Resort
598,Port-Gentil,GA,80.98,broken clouds,-0.7193,8.7815,Fengshui Residence
600,Tucuman,AR,77.2,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
601,Honiara,SB,78.76,overcast clouds,-9.4333,159.95,Heritage Park Hotel
602,Harper,LR,81.07,overcast clouds,4.375,-7.7169,Screensaver
605,Atar,MR,87.66,broken clouds,20.5169,-13.0499,Oumou Elghoura
608,Inhambane,MZ,77.63,few clouds,-23.865,35.3833,Oceano
610,Panlaitan,PH,80.28,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
612,Nioki,CD,82.11,overcast clouds,-2.7167,17.6833,
613,Sola,VU,82.06,overcast clouds,-13.8833,167.55,Leumerus Bungalows
614,Kimbe,PG,76.42,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
619,Boende,CD,82.15,scattered clouds,-0.2167,20.8667,
621,Rafaela,AR,85.05,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
622,Kismayo,SO,77.83,few clouds,-0.3582,42.5454,Agan-Hotel
625,Sweetwater,US,83.01,few clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
627,Port Shepstone,ZA,76.05,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
632,Yorosso,ML,85.8,clear sky,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
635,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Casona Del Muelle
638,Itaueira,BR,86.23,light rain,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
639,Ouesso,CG,80.31,broken clouds,1.6136,16.0517,ABENIE Hotel
643,Puerto Concordia,CO,80.1,overcast clouds,2.6221,-72.7572,Hotel El Jardín
644,Petatlan,MX,87.6,few clouds,17.5167,-101.2667,Hotel California Petatlán
648,Meulaboh,ID,76.68,overcast clouds,4.1363,96.1285,Kost Pria
649,Fare,PF,81.32,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
652,Ouallam,NE,80.22,clear sky,14.3188,2.0866,
659,San Isidro,PE,76.5,clear sky,-12.1167,-77.05,Soul Mate-Inn
660,Rio Branco,BR,80.6,overcast clouds,-9.9747,-67.81,Inácio Palace Hotel
661,Progreso,MX,81.1,few clouds,21.2833,-89.6667,Playa Linda Hotel
662,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
663,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
664,Santa Cruz,BO,87.49,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
665,Oussouye,SN,84.78,broken clouds,12.485,-16.5469,Auberge du Routard
673,Dicabisagan,PH,75.29,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
674,Mersing,MY,76.98,overcast clouds,2.4312,103.8405,Timotel Hotel
676,Parana,AR,81.3,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
677,Presidencia Roque Saenz Pena,AR,89.35,clear sky,-26.7852,-60.4388,Hotel Gualok
680,Fowa,NG,89.08,scattered clouds,8.9167,6.4,
682,Pirapo,PY,79.68,clear sky,-26.85,-55.5333,Seccional Colorada Angel Castro
