City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
78,Kanniyakumari,IN,8.0833,77.5667,78.33,77,38,8.39,scattered clouds
79,Victoria,HK,22.2855,114.1577,65.95,85,96,5.01,overcast clouds
80,Salalah,OM,17.0151,54.0924,78.89,17,0,11.5,clear sky
81,Tutoia,BR,-2.7619,-42.2744,89.58,68,65,11.52,broken clouds
82,Arraial Do Cabo,BR,-22.9661,-42.0278,85.86,62,75,6.91,thunderstorm
83,Islamkot,PK,24.6997,70.177,69.21,72,0,9.84,clear sky
84,La Ronge,CA,55.1001,-105.2842,32.25,59,40,4.61,scattered clouds
85,Gamboma,CG,-1.8764,15.8644,82.72,37,20,1.83,few clouds
86,Esperance,AU,-33.8667,121.9,62.44,64,40,21.05,scattered clouds
87,Hasaki,JP,35.7333,140.8333,34.29,53,94,1.57,light snow
88,Sibolga,ID,1.7427,98.7792,77.67,77,100,2.55,light rain
89,Sredniy Ikorets,RU,51.0675,39.7584,33.39,98,100,13.98,overcast clouds
90,Chokurdakh,RU,70.6333,147.9167,-44.59,100,95,5.12,overcast clouds
91,Ventersburg,ZA,-28.0856,27.1381,71.73,49,96,3.8,overcast clouds
92,Provideniya,RU,64.3833,-173.3,-14.33,77,1,12.1,clear sky
93,Haines Junction,CA,60.7522,-137.5108,12.67,98,72,2.3,broken clouds
94,Labuan,MY,5.2767,115.2417,82.11,94,20,5.01,few clouds
95,Lagoa,PT,39.05,-27.9833,58.98,71,1,12.37,clear sky
96,Thompson,CA,55.7435,-97.8558,8.76,85,100,10.36,overcast clouds
97,Berlin,DE,52.5244,13.4105,42.98,75,75,16.11,broken clouds
98,Rio Grande,BR,-32.035,-52.0986,80.71,54,13,19.19,few clouds
99,Mangrol,IN,21.1167,70.1167,67.77,74,2,9.42,clear sky
100,Staryy Nadym,RU,65.6118,72.6842,-5.06,93,90,13.18,overcast clouds
101,Kalmunai,LK,7.4167,81.8167,77.31,82,100,9.78,overcast clouds
102,Geraldton,AU,-28.7667,114.6,63.01,67,0,13.8,clear sky
103,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,40,12.66,scattered clouds
104,Chicama,PE,-7.8447,-79.1469,68.54,53,92,11.1,overcast clouds
105,Naryan-Mar,RU,67.6713,53.087,14.99,93,100,12.48,overcast clouds
106,Hilo,US,19.7297,-155.09,67.24,88,20,3.44,few clouds
107,Piacabucu,BR,-10.4056,-36.4344,85.35,61,1,11.1,clear sky
108,Flores,GT,16.9226,-89.8994,80.89,59,53,1.01,broken clouds
109,Kavieng,PG,-2.5744,150.7967,81.52,77,91,6.69,overcast clouds
110,Nome,US,64.5011,-165.4064,-9.33,54,0,17.27,clear sky
111,Ulladulla,AU,-35.35,150.4667,62.87,87,65,5.88,broken clouds
112,Kruisfontein,ZA,-34.0033,24.7314,66.88,55,77,3.22,broken clouds
113,Stabat,ID,3.761,98.4513,77.2,92,100,3.38,overcast clouds
114,Henties Bay,NA,-22.116,14.2845,72.86,85,65,9.48,light rain
115,Oranjemund,NA,-28.55,16.4333,70.7,62,7,13.38,clear sky
116,Gwembe,ZM,-16.4975,27.6069,63.21,95,66,2.64,light rain
117,Ferrol,ES,43.4832,-8.2369,57.45,82,10,13.38,clear sky
118,Noumea,NC,-22.2763,166.4572,75.18,89,100,10.04,overcast clouds
119,Virden,US,39.5009,-89.7679,23.63,68,8,9.06,clear sky
120,Alghero,IT,40.5589,8.3181,55.49,67,20,8.05,few clouds
121,Lompoc,US,34.6391,-120.4579,76.14,55,0,3.44,clear sky
122,Abonnema,NG,4.7084,6.7931,82.4,70,62,13.85,broken clouds
